,Real,Previsto
2021-01-01,0.25,1.1818000000000006
2021-02-01,0.86,0.34375000000000006
2021-03-01,0.93,0.66325
2021-04-01,0.31,0.6341999999999995
2021-05-01,0.83,0.5972000000000007
2021-06-01,0.53,0.6083000000000002
2021-07-01,0.96,0.48495000000000066
2021-08-01,0.87,0.6635499999999994
2021-09-01,1.16,0.6269499999999988
2021-10-01,1.25,0.945450000000001
2021-11-01,0.95,1.0582999999999998
2021-12-01,0.73,0.862150000000002
2022-01-01,0.54,0.6396500000000002
2022-02-01,1.01,0.7395500000000008
2022-03-01,1.62,0.96955
2022-04-01,1.06,1.3667499999999992
2022-05-01,0.47,0.9464500000000013
2022-06-01,0.67,0.5495499999999991
2022-07-01,-0.68,0.7989000000000012
2022-08-01,-0.36,0.06859999999999988
2022-09-01,-0.29,0.0587499999999999
2022-10-01,0.59,0.08565000000000003
2022-11-01,0.41,0.5837500000000003
2022-12-01,0.62,0.38535000000000025
2023-01-01,0.53,0.7112
2023-02-01,0.84,0.5747000000000001
2023-03-01,0.71,0.9211500000000007
2023-04-01,0.61,0.7003499999999999
2023-05-01,0.23,0.6158500000000007
2023-06-01,-0.08,0.4049000000000007
2023-07-01,0.12,0.3258499999999994
2023-08-01,0.23,0.35289999999999977
2023-09-01,0.26,0.5810000000000004
2023-10-01,0.24,0.34160000000000035
2023-11-01,0.28,0.2800499999999999
2023-12-01,0.56,0.3538499999999995
2024-01-01,0.42,0.48230000000000045
2024-02-01,0.83,0.48814999999999953
2024-03-01,0.16,0.7673999999999995
2024-04-01,0.38,0.24230000000000018
2024-05-01,0.46,0.47829999999999956
2024-06-01,0.21,0.4608000000000003
2024-07-01,0.38,0.24259999999999965
2024-08-01,-0.02,0.33125000000000027
2024-09-01,0.44,0.16025000000000028
2024-10-01,0.56,0.2967999999999998
2024-11-01,0.39,0.7154500000000007
2024-12-01,0.52,0.47694999999999976
